,Unnamed: 0,식당명,별점,구,주소,전화번호,음식종류,가격대,주차,영업시간,메뉴,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
10,10,라미아파밀리아,4.5,송파구,서울특별시 송파구 백제고분로18길 5,010-4841-3941,음식 종류 이탈리안,가격대 3만원-4만원,주차 유료주차 가능,"['화-금: 11:30 - 22:00', '토-일: 11:00 - 12:00']","['7 런치코스', '35,000원', '7 디너코스', '35,000원', '10 런치코스', '50,000원', '10 디너코스', '50,000원']",2022-05-23,맛있다,20,18.0,2.0,0.0
11,11,알라딘의양고기,4.5,송파구,서울특별시 송파구 백제고분로7길 42-16,02-421-5534,음식 종류 기타 중식,가격대 2만원-3만원,주차 무료주차 가능,"['월-토: 17:00 - 01:00', '일: 17:00 - 24:00']","['아랍식양갈비', '24,000원', '고급양갈비', '22,000원', '양등심', '24,000원', '양꼬치살', '13,000원', '양갈비살', '20,000원']",21 시간 전,맛있다,15,13.0,1.0,1.0
12,12,그곁,4.5,송파구,서울특별시 송파구 오금로18길 14 1F,02-417-8666,음식 종류 일반 주점,가격대 2만원-3만원,주차 주차공간없음,['18:00 - 01:00'],"['탕', '23,000원', '돼지갈비', '26,000원', '육회', '22,000원', '두부선', '19,000원', '숭채만두', '15,000원']",2022-06-06,맛있다,11,11.0,0.0,0.0
13,13,이치고,4.5,송파구,서울특별시 송파구 백제고분로11길 6-7 1F,02-412-0481,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 2만원-3만원,영업시간 18:00 - 01:00,['일'],"['사시미 (2인)', '48,000원', '멘치카츠 (2pcs)', '12,000원', '마구로크림치즈아에', '15,000원', '규스테이크와 타마미소', '38,000원', '명란우니 크림파스타', '23,000원']",2022-06-12,맛있다,7,7.0,0.0,0.0
14,14,뉴질랜드스토리,4.4,송파구,서울특별시 송파구 석촌호수로 268,070-7523-6265,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원-2만원,"주차 유료주차 가능 1시간 6,000원","['월-목: 10:30 - 18:00', '금-일: 10:30 - 21:00']","['바질크림파니니', '10,000원', '에그파파샌드위치', '10,000원', '모로칸치킨샌드위치', '11,000원', '스웨디시 홈프레이트', '19,000원', '머쉬룸마리오파니니', '12,000원']",2022-08-06,괜찮다,276,222.0,42.0,12.0
15,15,한아람정육식당,4.4,송파구,서울특별시 송파구 위례성대로 34 지산빌딩 2F,02-415-7277,음식 종류 고기 요리,가격대 3만원-4만원,주차 발렛,['11:00 - 23:30'],"['꽃등심 (130g)', '42,000원', '안심 (130g)', '44,000원', '갈비살 (130g)', '42,000원', '채끝 (130g)', '42,000원', '살치살 (130g)', '47,000원']",2022-05-07,맛있다,47,41.0,5.0,1.0
16,16,디저티스트,4.4,송파구,서울특별시 송파구 송파대로48길 37 호수임광아파트 상가동 2F,010-6832-0076,음식 종류 카페 / 디저트,가격대 만원 미만,주차 주차공간없음,['12:00 - 22:30'],"['타르트바닐라', '7,800원', '망고패션파르페', '13,500원', '얼그레이오페라', '7,800원', '블랙트러플마카롱', '3,500원', '허브티', '7,000원']",3 일 전,맛있다,86,70.0,15.0,1.0
17,17,몽중헌,4.4,송파구,서울특별시 송파구 위례성대로 10 S타워 20-21F,02-2202-8004,음식 종류 정통 중식 / 일반 중식,가격대 3만원-4만원,주차 발렛,['11:30 - 22:00'],"['하교 (3개)', '9,800원', '구채교', '9,800원', '백채교', '9,800원', '마라소룡포', '11,000원', '런치 코스', '65,000원']",2022-07-31,맛있다,79,60.0,15.0,4.0
18,18,미엔아이,4.4,송파구,서울특별시 송파구 오금로16길 5 1F,02-422-0652,음식 종류 기타 중식,가격대 만원 미만,주차 무료주차 가능,['11:30 - 21:00'],"['대만우육미엔', '9,000원', '마라우육미엔', '9,500원', '마약차오판', '9,000원', '타이완장육', '7,500원', '우육냉면', '10,500원']",2022-08-08,괜찮다,119,91.0,22.0,6.0
19,19,뷰클런즈,4.4,송파구,서울특별시 송파구 백제고분로43길 10,070-4065-4860,음식 종류 카페 / 디저트,가격대 만원 미만,주차 주차공간없음,['12:00 - 22:00'],"['아메리카노', '5,500원', '카페라떼', '6,000원', '카푸치노', '6,000원', '스웨덴스윗라떼', '6,500원', '스웨덴드립커피', '6,800원']",2022-08-03,맛있다,48,39.0,9.0,0.0
20,20,모터시티,4.4,송파구,서울특별시 송파구 백제고분로45길 17-3 2F,02-424-2323,음식 종류 기타 양식,가격대 만원-2만원,"주차 유료주차 가능 10분당 1,000원","['화-토: 11:30 - 22:30', '일-월: 11:30 - 22:00']","['치즈피자', '18,900원', '페페로니', '19,800원', '잭슨 5', '23,900원', '버팔로 치킨 윙', '11,000원', '트러플 투움바 파스타', '19,000원']",2022-06-25,괜찮다,93,61.0,23.0,9.0
21,21,부일갈매기,4.4,송파구,서울특별시 송파구 삼전로13길 4,02-412-1462,음식 종류 고기 요리,가격대 만원-2만원,주차 무료주차 가능,['17:00 - 23:00'],"['갈매기살 (170g)', '15,000원', '항정살 (170g)', '17,000원', '막창 (180g)', '16,000원', '염통 (180g)', '13,000원', '한우우설 (150g)', '35,000원']",2022-06-07,맛있다,28,26.0,2.0,0.0
22,22,비채나,4.4,송파구,서울특별시 송파구 올림픽로 300 롯데월드타워 81F,02-1811-1870,음식 종류 한정식 / 백반 / 정통 한식,가격대 4만원 이상,주차 유료주차 가능,['10:00 - 21:00'],"['점심 산천코스', '77,000원', '점심 산천코스 (주말/공휴일)', '99,000원', '연말스페셜코스 (점심)', '150,000원', '연말스페셜코스 (저녁)', '240,000원', '일월코스 (주중점심)', '160,000원']",2022-07-11,맛있다,15,12.0,3.0,0.0
23,23,스시다원,4.4,송파구,서울특별시 송파구 삼전로12길 6 1F,02-425-6906,음식 종류 회 / 스시,가격대 4만원 이상,주차 무료주차 가능,['12:00 - 22:00'],"['런치오마카세', '60,000원', '디너오마카세', '120,000원']",2022-05-12,맛있다,15,14.0,0.0,1.0
24,24,밀각,4.4,송파구,서울특별시 송파구 송파대로28길 27 성원쌍떼빌101동 116호,02-409-9295,음식 종류 고기 요리,가격대 2만원-3만원,주차 무료주차 가능 2시간 무료,['11:30 - 22:00'],"['족발', '43,000원', '반족발', '28,000원', '양무침', '28,000원', '양곰탕', '13,000원', '평양냉면', '13,000원']",2022-07-16,맛있다,22,21.0,1.0,0.0
25,25,선호커피로스터스,4.4,송파구,서울특별시 송파구 송이로2길 4 1F,0507-1468-1465,음식 종류 카페 / 디저트,가격대 만원 미만,주차 주차공간없음,"['화-금: 07:00 - 16:00', '토-일: 11:00 - 18:00']",0,2022-06-26,맛있다,7,7.0,0.0,0.0
26,26,라뿔,4.4,송파구,서울특별시 송파구 백제고분로43길 7,02-423-3502,음식 종류 카페 / 디저트,가격대 만원 미만,주차 주차공간없음,['수-토: 12:00 - 19:30'],"['아메리카노', '3,300원', '카페라떼', '4,300원', '에그타르트', '2,200원']",2022-07-23,맛있다,18,17.0,1.0,0.0
27,27,네기우나기야,4.4,송파구,서울특별시 송파구 잠실로 209 소피텔앰배서더 2F,02-417-0805,음식 종류 해산물 요리,가격대 2만원-3만원,주차 유료주차 가능,['11:30 - 22:00'],"['우나쥬', '38,000원', '아나고텐쥬', '24,000원', '우나기온소바', '28,000원', '에비텐쥬', '21,000원', '우나쥬코스 (1마리)', '54,000원']",2022-06-10,맛있다,10,9.0,1.0,0.0
28,28,생생아구,4.4,송파구,서울특별시 송파구 백제고분로7길 8-37,02-419-2922,음식 종류 해산물 요리,가격대 3만원-4만원,주차 무료주차 가능,['10:00 - 22:00'],"['아구코스A', '65,000원', '아구코스B', '55,000원', '아구수육 소', '65,000원', '아구회 중', '70,000원']",2022-05-22,맛있다,8,7.0,1.0,0.0
29,29,마초야,4.4,송파구,서울특별시 송파구 백제고분로40길 24 1F,02-412-1403,음식 종류 까스 요리,가격대 만원 미만,메뉴,0,"['돈카츠', '10,000원', '킹새우카츠', '10,500원', '모듬카츠', '13,000원', '에비동', '9,000원', '카케우동', '8,000원']",2022-07-27,맛있다,12,11.0,1.0,0.0
30,30,미강식당,4.4,송파구,서울특별시 송파구 백제고분로 122,02-422-4624,음식 종류 고기 요리,가격대 만원-2만원,주차 무료주차 가능,['11:30 - 23:00'],"['육즙팡팡 삼겹살', '15,000원', '탱글탱글 목살', '15,000원', '항정살', '14,000원', '벌집 껍데기', '6,000원', '제육쌈밥', '9,000원']",2022-07-18,맛있다,9,9.0,0.0,0.0
31,31,토마루해물칼국수,4.4,송파구,서울특별시 송파구 백제고분로15길 6,02-416-2731,음식 종류 국수 / 면 요리,가격대 만원 미만,영업시간 11:00 - 21:00,['15:00 - 17:00'],"['해물칼국수', '9,000원', '고기왕만두', '9,000원', '김치왕만두', '9,000원', '왕만두국', '9,000원', '만두전골 (소)', '27,000원']",2022-07-31,맛있다,6,6.0,0.0,0.0
32,32,탄포포,4.4,송파구,서울특별시 송파구 백제고분로7길 52-19 1F,0507-1315-5518,음식 종류 회 / 스시,가격대 3만원-4만원,영업시간 16:00 - 00:00,['23:00'],0,2022-06-19,맛있다,5,5.0,0.0,0.0
33,33,멘야하나비,4.3,송파구,서울특별시 송파구 백제고분로45길 38,070-8959-1108,음식 종류 라멘 / 소바 / 우동,가격대 만원-2만원,주차 주차공간없음,"['월-금: 11:30 - 21:00', '토-일: 11:00 - 21:00']","['마제소마', '10,000원', '네기시오 마제소바', '13,000원', '카레 마제소바', '11,000원', '마제메시', '10,000원', '기미스타', '13,000원']",3 일 전,괜찮다,275,183.0,71.0,21.0
34,34,봉피양,4.3,송파구,서울특별시 송파구 양재대로71길 1-4,02-415-5527,음식 종류 고기 요리,가격대 만원-2만원,주차 발렛,['11:30 - 22:00'],"['돼지본갈비 (270g)', '29,000원', '고추장삼겹살', '27,000원', '한우석쇠불고기 (130g)', '55,000원', '평양냉면', '14,000원', '비빔냉면', '13,000원']",2022-07-02,괜찮다,158,135.0,17.0,6.0
35,35,오린지,4.3,송파구,서울특별시 송파구 송파대로48길 19,070-7755-4802,음식 종류 카페 / 디저트,가격대 만원 미만,주차 주차공간없음,['12:00 - 22:00'],"['브라우니', '5,000원', '타마고산도', '8,000원', '아메리카노', '4,500원', '카페라떼', '4,000원', '미도리라떼', '4,500원']",2022-07-23,맛있다,97,69.0,23.0,5.0
36,36,옥인피자,4.3,송파구,서울특별시 송파구 올림픽로 300 롯데월드몰 5F,0507-1429-4403,음식 종류 이탈리안,가격대 만원-2만원,주차 주차공간없음,['10:30 - 22:00'],"['단호박치즈피자', '22,000원', '알프레도 머쉬룸 피자', '22,000원', '토마토 머쉬룸 피자', '22,000원', '바베큐 치킨 피자', '19,800원', '포테이토 피자', '19,800원']",2022-07-09,맛있다,161,118.0,40.0,3.0
37,37,옥돌현옥,4.3,송파구,서울특별시 송파구 오금로36길 26-1,02-404-4824,음식 종류 국수 / 면 요리,가격대 만원-2만원,주차 무료주차 가능,['11:30 - 22:00'],"['평양물냉면', '11,000원', '평양비빔냉면', '11,000원', '돼지곰탕', '8,000원', '가자미식해', '18,000원', '어복쟁반', '48,000원']",2022-07-15,맛있다,57,50.0,7.0,0.0
38,38,다운타우너,4.3,송파구,서울특별시 송파구 백제고분로45길 3 1F,070-8868-3696,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원 미만,주차 발렛,['11:00 - 21:00'],"['아보카도버거', '9,300원', '갈릭버터프라이즈', '6,300원', '치즈버거', '6,800원', '더블더블버거', '9,800원', '해쉬브라운버거', '8,800원']",6 일 전,괜찮다,142,107.0,26.0,9.0
39,39,야끼소바니주마루,4.3,송파구,서울특별시 송파구 백제고분로41길 21,070-7819-0012,음식 종류 라멘 / 소바 / 우동,가격대 만원 미만,주차 주차공간없음,"['화-금: 11:30 - 21:00', '토-일: 12:00 - 21:00']","['야끼소바 소스', '10,000원', '야끼소바 소금', '10,000원', '오징어새우 (토핑)', '1,500원', '계란프라이 (토핑)', '1,000원']",2022-06-06,괜찮다,103,74.0,25.0,4.0
40,40,파오파오,4.3,송파구,서울특별시 송파구 석촌호수로12길 22,02-412-9198,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원 미만,주차 주차공간없음,['11:30 - 21:30'],"['고기만두 (9pcs)', '4,500원', '김치만두 (9pcs)', '4,500원', '새우만두 (6pcs)', '4,500원']",2022-01-31,괜찮다,184,143.0,34.0,7.0
41,41,신양로스터스,4.3,송파구,서울특별시 송파구 오금로18길 3,02-420-3602,음식 종류 카페 / 디저트,가격대 만원 미만,주차 주차공간없음,"['수-금: 11:00 - 14:00', '토: 11:00 - 17:00']","['에스프레소', '2,500원', '아메리카노', '2,500원', '플랫화이트', '3,000원', '카페라떼', '3,000원', '콜드브루', '3,000원']",2022-05-19,괜찮다,35,32.0,3.0,0.0
42,42,할머니포장마차멸치국수,4.3,송파구,서울특별시 송파구 오금로11길 59,02-416-6698,음식 종류 전통 주점 / 포차,가격대 만원-2만원,주차 주차공간없음,['17:40 - 05:30'],"['천엽', '13,000원', '닭똥집', '12,000원', '해삼', '20,000원', '가리비', '13,000원', '곱창', '13,000원']",2022-08-06,맛있다,55,39.0,15.0,1.0
43,43,갓잇,4.3,송파구,서울특별시 송파구 백제고분로45길 4-14,02-487-9451,음식 종류 남미 음식,가격대 만원-2만원,주차 주차공간없음,['11:00 - 21:50'],"['A세트 (2인)', '34,000원', 'B세트 (2인)', '37,000원', 'C세트 (2인)', '37,000원', '타코세트 (3인)', '48,000원', '갓보울', '17,000원']",2022-08-03,맛있다,64,47.0,16.0,1.0
44,44,유원설렁탕,4.3,송파구,서울특별시 송파구 삼전로 90,02-414-2256,음식 종류 탕 / 찌개 / 전골,가격대 만원 미만,주차 주차공간없음,"['월-금: 08:00 - 21:00', '토-일: 08:00 - 20:00']","['설렁탕', '9,000원', '소머리설렁탕', '11,000원', '도가니탕', '15,000원', '유원 특탕', '17,000원', '수육', '35,000원']",2022-06-25,맛있다,28,22.0,5.0,1.0
45,45,송계옥,4.3,송파구,서울특별시 송파구 올림픽로32길 38 103-104호,070-7677-2323,음식 종류 닭 / 오리 요리,가격대 만원-2만원,주차 주차공간없음,"['월-금: 17:00 - 23:00', '토-일: 16:00 - 23:00']","['지도리우동', '9,000원', '송계옥비빔면', '8,000원', '의성마늘볶음밥', '5,500원', '무뼈닭발', '13,000원', '닭구이모듬 (중)', '27,000원']",2022-06-29,괜찮다,24,18.0,4.0,2.0
46,46,고든램지버거,4.3,송파구,서울특별시 송파구 올림픽로 300 롯데월드몰 B1,031-794-9823,음식 종류 브런치 / 버거 / 샌드위치,가격대 3만원-4만원,주차 유료주차 가능,['10:30 - 22:00'],"['헬스키친버거', '33,000원']",1 일 전,별로,29,20.0,8.0,1.0
47,47,옥기린,4.3,송파구,서울특별시 송파구 백제고분로7길 16-3 1F,02-422-9055,음식 종류 회 / 스시,가격대 만원-2만원,주차 주차공간없음,['18:00 - 02:00'],"['5종 사시미', '17,000원', '7종 사시미', '22,000원', '도미', '18,000원', '아지 나메로', '15,000원', '광어', '15,000원']",2022-04-30,별로,14,10.0,3.0,1.0
48,48,팀호완,4.3,송파구,서울특별시 송파구 올림픽로 240 롯데백화점 잠실점 2F,070-4740-5542,음식 종류 딤섬 / 만두,가격대 만원-2만원,주차 유료주차 가능,['11:30 - 21:30'],"['계절야채 (공심채)', '6,000원', '사천식 목이버섯', '6,000원', '전복샤오마이 (3pcs)', '9,000원', '차슈바오 번 (3pcs)', '7,000원', '부채교 (3pcs)', '6,000원']",2022-07-21,괜찮다,31,23.0,7.0,1.0
49,49,육화식당,4.3,송파구,서울특별시 송파구 올림픽로32길 29 유성빌딩,02-424-6882,음식 종류 고기 요리,가격대 만원-2만원,주차 주차공간없음,['11:30 - 01:00'],"['암돼지꽃목살 (180g)', '15,000원', '암돼지본삼겹 (180g)', '15,000원', '암돼지오겹살 (180g)', '15,000원', '한우투뿔차돌 (150g)', '23,000원', '한우투뿔등심 (100g)', '23,000원']",2022-08-05,맛있다,30,27.0,1.0,2.0
50,50,송파감자국,4.3,송파구,서울특별시 송파구 가락로 82 영신빌딩 1F,02-416-7350,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,주차 무료주차 가능,['12:00 - 02:00'],"['감자탕 (소)', '28,000원', '감자탕 (중)', '34,000원', '감자탕 (대)', '40,000원']",2022-03-31,맛있다,48,42.0,3.0,3.0
51,51,동락,4.3,송파구,서울특별시 송파구 중대로23길 20,02-404-4649,음식 종류 기타 한식,가격대 만원-2만원,주차 주차공간없음,['17:30 - 23:00'],"['숙성사시미 (2인)', '25,000원', '돼지고기 된장절임', '17,000원', '도미솥밥 (2인분량)', '24,000원', '후토마키', '12,000원', '시메사바 (고등어초절임)', '16,000원']",2022-08-10,맛있다,14,13.0,1.0,0.0
52,52,브로버거,4.3,송파구,서울특별시 송파구 위례성대로20길 22 정남빌딩 1F,02-6080-8663,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원 미만,주차 주차공간없음,['11:30 - 21:00'],"['머쉬룸버거', '9,800원', '아보카도버거', '9,800원', '바베큐모짜렐라버거', '10,900원', '어니언링', '5,500원', '구아카몰 프렌치프라이', '7,000원']",2 일 전,맛있다,27,24.0,2.0,1.0
53,53,오징어세상,4.3,송파구,서울특별시 송파구 백제고분로9길 42 1F,02-423-1918,음식 종류 해산물 요리,가격대 만원-2만원,주차 무료주차 가능,['16:00 - 05:00'],"['오징어회', '20,000원', '우럭무침', '15,000원']",3 일 전,맛있다,27,23.0,4.0,0.0
54,54,방이샤브샤브칼국수,4.3,송파구,서울특별시 송파구 오금로31길 42,02-423-3450,음식 종류 국수 / 면 요리,가격대 만원 미만,주차 주차공간없음,['11:00 - 22:00'],"['버섯칼국수', '9,000원', '소고기 (160g)', '8,000원', '전주비빔밥', '8,000원', '돌솥비빔밥', '9,000원', '국수', '2,000원']",2022-07-16,맛있다,50,41.0,7.0,2.0
55,55,노란상소갈비,4.3,송파구,서울특별시 송파구 송파대로49길 33 1F,02-415-9290,음식 종류 고기 요리,가격대 만원-2만원,0,0,0,42 분 전,별로,6,5.0,0.0,1.0
56,56,코끼리 the salad cafe,4.3,송파구,서울특별시 송파구 송파대로37길 92 1F,070-8704-4272,음식 종류 기타 양식,가격대 만원 미만,메뉴,0,"['연두부샐러드', '8,800원', '파스타샐러드', '8,800원', '비프스테이크 샐러드', '11,800원', '연어샐러드', '9,800원', '닭가슴살샐러드', '9,300원']",2022-04-18,맛있다,11,10.0,1.0,0.0
57,57,타코비&치즈볼,4.3,송파구,서울특별시 송파구 석촌호수로 58 동신빌딩 1F,070-4153-5280,음식 종류 철판 요리,가격대 만원 미만,주차 주차공간없음,['12:30 - 23:30'],"['타코비볼 오리지널 (6알)', '3,000원', '타코비볼 치즈맛 (6알)', '3,500원', '타코비볼 눈꽃치즈 (6알)', '4,000원', '모짜렐라 치즈볼 (3알)', '2,000원', '초코 치즈볼 (1알)', '16,000원']",2022-03-04,맛있다,28,22.0,6.0,0.0
58,58,잠수교집,4.3,송파구,서울특별시 송파구 송파대로49길 51 1F,02-419-0434,음식 종류 고기 요리,가격대 만원-2만원,주차 무료주차 가능,['12:00 - 23:00'],"['삼겹살', '13,000원', '맑은명란탕', '12,000원', '청국장', '7,000원', '얼큰순두부', '7,000원', '국물떡볶이', '8,000원']",2022-07-12,맛있다,17,16.0,1.0,0.0
59,59,원조마포소금구이,4.3,송파구,서울특별시 송파구 오금로11길 34,02-414-1981,음식 종류 고기 요리,가격대 만원-2만원,주차 무료주차 가능,['12:00 - 22:00'],"['묻지마 (170g)', '15,000원', '소고기모듬 (160g)', '35,000원', '갈매기 (170g)', '15,000원', '하얀고기', '15,000원', '된장찌개', '4,000원']",2022-07-16,맛있다,10,9.0,1.0,0.0
60,60,용기수산,4.3,송파구,서울특별시 송파구 양재대로 932,010-3233-3695,음식 종류 해산물 요리,가격대 3만원-4만원,주차 유료주차 가능,['09:00 - 23:00'],"['모둠회', '50,000원', '스페셜모둠회', '70,000원', '연어모둠회', '50,000원', '프리미엄 계절모둠회', '65,000원']",2022-01-29,맛있다,12,10.0,2.0,0.0
61,61,놀부유황오리진흙구이,4.3,송파구,서울특별시 송파구 도곡로 450 1-2F,02-425-5292,음식 종류 닭 / 오리 요리,가격대 4만원 이상,영업시간 10:00 - 22:00,0,0,2022-07-07,맛있다,11,8.0,3.0,0.0
62,62,위커파크 웨스트,4.3,송파구,서울특별시 송파구 석촌호수로 230 상가 101호,02-425-0448,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원-2만원,0,0,0,2022-08-06,맛있다,5,5.0,0.0,0.0
63,63,방이옥,4.3,송파구,서울특별시 송파구 오금로13길 15 1F,02-423-2641,음식 종류 고기 요리,가격대 만원-2만원,0,0,0,2022-07-18,맛있다,5,4.0,1.0,0.0
64,64,온수반,4.3,송파구,서울특별시 송파구 백제고분로 469 1F,070-4202-0691,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,웹 사이트 식당 홈페이지로 가기,0,0,2022-05-23,맛있다,4,4.0,0.0,0.0
65,65,그리지하우스,4.2,송파구,서울특별시 송파구 백제고분로41길 43-17,02-6013-8169,음식 종류 스테이크 / 바베큐,가격대 만원-2만원,주차 무료주차 가능,['11:30 - 22:00'],"['갈릭함박스테이크 (M)', '17,900원', '스모크 베이컨함박스테이크', '19,900원', '오리지널 함박스테이크', '14,900원', '슬로피조 함박스테이크', '19,900원', '클래식 베이컨치즈버거', '18,900원']",2022-04-01,괜찮다,130,90.0,33.0,7.0
66,66,바토스,4.2,송파구,서울특별시 송파구 올림픽로 240 롯데백화점 잠실점 B1,02-2143-7073,음식 종류 남미 음식,가격대 만원-2만원,주차 유료주차 가능,['11:30 - 22:00'],"['김치 까르니따스 프라이즈', '11,900원', '스윗 바베큐 윙즈', '7,900원', '허니 데킬라 윙즈', '7,900원', '신선한 과카몰리와 칩스', '8,900원', '칠리 라임 쉬림프 타코', '9,500원']",1 일 전,맛있다,107,72.0,27.0,8.0
67,67,별미곱창,4.2,송파구,서울특별시 송파구 올림픽로32길 22,02-414-4545,음식 종류 고기 요리,가격대 2만원-3만원,주차 무료주차 가능,['11:00 - 06:00'],"['모듬곱창 (200g)', '25,000원', '막창 (200g)', '25,000원', '대창 (200g)', '25,000원', '소곱창 (200g)', '25,000원', '볶음밥', '3,000원']",2022-06-27,맛있다,104,72.0,20.0,12.0
68,68,정라멘,4.2,송파구,서울특별시 송파구 삼전로12길 7,070-8156-1412,음식 종류 라멘 / 소바 / 우동,가격대 만원 미만,주차 주차공간없음,['11:30 - 21:00'],"['아부라소바', '9,000원', '돈코츠라멘', '9,000원']",2022-05-12,별로,60,46.0,13.0,1.0
69,69,도요스6가,4.2,송파구,서울특별시 송파구 백제고분로45길 40 트윈레이크팰리스,02-416-6802,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 2만원-3만원,주차 주차공간없음,['11:00 - 21:00'],"['카이센동', '24,000원', '세프 스페셜 카이센동', '34,000원', '포세이돈 카이센동', '45,000원', '무시아와비동', '21,000원', '혼마구로동', '25,000원']",2022-05-28,맛있다,38,28.0,8.0,2.0
