,식당명,별점,주소,전화번호,음식종류,가격대,주차,영업시간,메뉴,리뷰날짜,리뷰평가
10,겨리,4.1,주소 서울특별시 도봉구 도봉로112길 29 1F,전화번호 02-900-3200,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원-2만원,주차 주차공간없음,['11:30 - 21:00'],"['계절 카이센동', '24,000원', '모둠사시미', '29,000원', '사시미코스', '39,000원', '사케동', '12,000원']",2022-06-10,괜찮다
11,쌍문동판다쓰,4.0,주소 서울특별시 도봉구 우이천로24길 49 다온쉐르빌,전화번호 02-6052-1578,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,주차 주차공간없음,['11:30 - 22:00'],"['짜장면', '7,000원', '판다쓰볶음밥', '8,500원', '수제지짐만두', '6,000원', '어향가지', '23,000원', '멘보샤', '20,000원']",2022-03-05,괜찮다
12,원성반점,4.0,주소 서울특별시 도봉구 노해로 233-1,전화번호 02-992-4955,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,주차 주차공간없음,['10:30 - 21:30'],0,2022-04-10,맛있다
13,쌍문동커피,4.0,주소 서울특별시 도봉구 도봉로116길 5,전화번호 010-7405-0707,음식 종류 카페 / 디저트,가격대 만원 미만,주차 주차공간없음,"['화-목: 10:00 - 22:00', '금: 11:00 - 22:30', '토: 11:00 - 22:30', '일: 11:00 - 22:00']","['아메리카노', '4,000원', '카페라떼', '4,500원', '에스프레소', '4,500원', '카푸치노', '4,500원']",2021-11-19,맛있다
14,참만두,4.0,주소 서울특별시 도봉구 노해로 383 KB국민은행 창동지점 앞,전화번호 010-2247-8432,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원 미만,주차 주차공간없음,['16:00 - 01:00'],0,2022-02-27,맛있다
15,면장우동,4.0,주소 서울특별시 도봉구 도봉로118길 10,전화번호 070-4115-1115,음식 종류 라멘 / 소바 / 우동,가격대 만원 미만,영업시간 11:30 - 21:30,['15:00 - 17:00'],0,2021-11-26,맛있다
16,쉐프마인드,3.9,주소 서울특별시 도봉구 노해로 384 동아상가 1F,전화번호 02-992-1691,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 만원-2만원,주차 무료주차 가능,['11:00 - 24:00'],"['오마카세', '99,000원', '쉐프코스 A', '49,000원', '쉐프코스 B', '75,000원', '까치복 나베', '35,000원', '제철 모듬사시미 (중)', '50,000원']",2022-05-02,맛있다
17,트라토리아진,3.9,주소 서울특별시 도봉구 도봉로110길 39-9,전화번호 02-6052-0529,음식 종류 이탈리안,가격대 만원 미만,주차 주차공간없음,['11:30 - 22:00'],"['새우알리오', '4,900원', '새우 할라피뇨 로제', '9,500원', '까르보나라', '9,500원', '김치 리조또', '8,500원', '돼지목살스테이크', '8,900원']",2022-07-31,맛있다
18,김화자카페,3.9,주소 서울특별시 도봉구 도봉로114길 50,전화번호 02-905-2570,음식 종류 카페 / 디저트,가격대 만원 미만,주차 주차공간없음,['11:00 - 22:00'],"['아메리카노', '3,500원', '바닐라빈라떼', '5,000원', '크림플랫화이트', '5,000원', '라즈베리굿', '5,500원', '뉴욕치즈케이크', '5,000원']",2021-06-08,맛있다
19,창동짬뽕,3.9,주소 서울특별시 도봉구 노해로63길 84,전화번호 02-900-0771,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,주차 주차공간없음,['11:30 - 22:00'],0,2022-08-01,맛있다
20,스시하쿠야,4.3,주소 서울특별시 노원구 노원로 470 2F,전화번호 02-931-6660,음식 종류 회 / 스시,가격대 4만원 이상,주차 무료주차 가능,['12:00 - 22:00'],"['런치 오마카세', '39,000원', '디너 오마카세', '79,000원']",2022-08-05,맛있다
21,노원목고기집,4.3,주소 서울특별시 노원구 상계로 96,전화번호 02-932-6599,음식 종류 고기 요리,가격대 만원-2만원,주차 주차공간없음,['16:00 - 23:00'],"['목고기 (200g)', '13,000원']",2022-01-24,맛있다
22,경성초밥,4.3,주소 서울특별시 노원구 공릉로 119-5,전화번호 02-978-8864,음식 종류 회 / 스시,가격대 만원-2만원,주차 유료주차 가능,['11:30 - 22:00'],"['모둠초밥', '18,000원', '특초밥', '26,000원', '생연어초밥', '18,000원', '구운연어초밥', '18,000원']",2022-07-08,맛있다
23,당혹,4.3,주소 서울특별시 노원구 동일로217가길 17 104호,전화번호 070-7500-7682,음식 종류 카페 / 디저트,가격대 만원 미만,주차 주차공간없음,"['월-금: 11:00 - 21:00', '토: 12:00 - 18:00']","['푸딩', '5,500원', '레몬마들렌', '2,700원', '트리플쇼콜라마들렌', '2,900원', '바닐라마들렌', '2,700원', '플레인휘낭시에', '2,500원']",2022-04-14,맛있다
24,땅코참숯구이,4.2,주소 서울특별시 노원구 노해로85길 15-5,전화번호 02-931-2856,음식 종류 고기 요리,가격대 만원-2만원,주차 주차공간없음,"['월-금: 15:30 - 23:00', '토-일: 15:00 - 23:00']",0,2022-07-17,맛있다
